"Guid","SBQQ__FilterField__c","SBQQ__FilterValue__c","SBQQ__Operator__c","SBQQ__Product__c","SBQQ__Required__c","SBQQ__Rule__c","SBQQ__Type__c","SBQQ__ValueAttribute__c","SBQQ__ValueField__c","SBQQ__ValueObject__c"
0122d405-2387-4923-8b57-463350f8d8e7,"#N/A","#N/A","#N/A",107c4fda-5e09-462a-b00a-fcc5d0ad797c,false,f19c26fe-6a0f-4620-9506-bab9c42cb8e0,Show & Add,"#N/A","#N/A","#N/A"
0391a882-771f-47c0-b282-01f7cb4e6d9a,"#N/A","#N/A","#N/A",9b1b09d5-8e6f-4a9e-9f27-76807ac72eb3,false,da96dfcc-08d1-4428-8fe0-3097fdc7c057,Add,"#N/A","#N/A","#N/A"
061ede07-d4c0-46f0-9abc-057c38f03035,"#N/A","#N/A","#N/A",fff87407-ff79-4b1b-b20e-bdf5cec3f6b6,false,92e4a96a-e09d-4e94-81c6-d722dd58ff2d,Hide & Remove,"#N/A","#N/A","#N/A"
0c822672-12d8-4e0b-a3da-dd5179fdd1c7,"#N/A","#N/A","#N/A",5b20572b-128b-4835-b8cd-5e48da479b91,false,353e8460-d1bd-4595-b816-330cef26a8f6,Show,"#N/A","#N/A","#N/A"
0c85d63e-0bdf-4533-aa7b-354ee5ce999b,"#N/A","#N/A","#N/A",107c4fda-5e09-462a-b00a-fcc5d0ad797c,false,2af1e9b2-ee6c-4965-85b4-9c18d31930a2,Remove,"#N/A","#N/A","#N/A"
0e3c8f8c-d833-4bf9-ba73-aad0f4c00244,"#N/A","#N/A","#N/A",2504d21f-7b7e-4905-953f-2fce1c1ff020,false,5c6411f7-f4a6-485f-94c6-9c2f01ae6da2,Show & Add,"#N/A","#N/A","#N/A"
14fe2b35-632b-4645-9f57-ad152577daf4,"#N/A","#N/A","#N/A",1dca29af-5739-48ee-ac0d-deedf54cb949,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Remove,"#N/A","#N/A","#N/A"
15e6a969-010e-4611-b90d-43baa5302b7b,"#N/A","#N/A","#N/A",09a550ee-25f5-4d09-8d97-e5c501f53294,false,f19c26fe-6a0f-4620-9506-bab9c42cb8e0,Remove,"#N/A","#N/A","#N/A"
1b81c138-799f-45cc-8e03-69e665571630,"#N/A","#N/A","#N/A",b8e095cb-5837-4e66-a50c-07f2b6a96065,false,98037468-5bfd-4769-8c78-40250325af92,Show & Add,"#N/A","#N/A","#N/A"
20cc4305-bb17-4a61-a23f-7343c3d19d29,"#N/A","#N/A","#N/A",5e65d4ab-6aa8-4e3c-a57a-64ebdb4d9608,false,e53d2730-659e-47b7-bfb7-8832f2871b06,Show,"#N/A","#N/A","#N/A"
213860d3-d9a1-453f-b780-97580728cbe1,"#N/A","#N/A","#N/A",d23d6219-dc1d-46f9-87d7-7e35dacbe621,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Show & Add,"#N/A","#N/A","#N/A"
28b5caf9-266a-44e6-ae7f-cd491c98d052,"#N/A","#N/A","#N/A",a38692c5-5eed-4966-a99e-72073a3e9eb5,false,92e4a96a-e09d-4e94-81c6-d722dd58ff2d,Hide & Remove,"#N/A","#N/A","#N/A"
2c5504d6-f1f7-4cd9-942b-896617dcd6e3,"#N/A","#N/A","#N/A",55a35784-1660-45f5-985c-c572fc190aeb,false,0d3c45ef-9dfa-40ec-862b-890b0c6ff904,Show,"#N/A","#N/A","#N/A"
31529bf8-ded1-4d1f-9126-82f13eadc2f3,"#N/A","#N/A","#N/A",09a550ee-25f5-4d09-8d97-e5c501f53294,false,2af1e9b2-ee6c-4965-85b4-9c18d31930a2,Show & Add,"#N/A","#N/A","#N/A"
34c2d3ed-d31e-4ede-a743-5b48a6cd9002,"#N/A","#N/A","#N/A",1c09b4ae-9fc3-4865-b14a-1b13001208eb,false,d70ba58b-d95b-4bc5-8ba8-4650f9681ded,Hide & Remove,"#N/A","#N/A","#N/A"
35a803f4-a227-4cb1-b6fd-e2345f8d4713,"#N/A","#N/A","#N/A",54875ef1-129b-41cb-abb8-0006e4e60838,false,65b7948f-093b-4f05-b0d2-d7950c24c3a0,Hide & Remove,"#N/A","#N/A","#N/A"
3705c1f5-b27a-4854-a2ab-fa52d06fbb7d,"#N/A","#N/A","#N/A",2504d21f-7b7e-4905-953f-2fce1c1ff020,false,0c71c1a2-5643-40ff-b47d-eacd1ff5b6e9,Hide & Remove,"#N/A","#N/A","#N/A"
386064c3-e31d-4070-8bbb-3ff995b9dc3b,"#N/A","#N/A","#N/A",d9230035-8cb6-43b8-bbd5-031604ebe799,false,deb69b66-ba6a-4b5b-ba6a-05b79acd09d8,Hide & Remove,"#N/A","#N/A","#N/A"
39f2c5da-aa3b-4161-95ea-6e02cac6e6a2,"#N/A","#N/A","#N/A",9b1b09d5-8e6f-4a9e-9f27-76807ac72eb3,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Remove,"#N/A","#N/A","#N/A"
3a45520f-31df-40e0-bab1-b64023dd80a3,"#N/A","#N/A","#N/A",107c4fda-5e09-462a-b00a-fcc5d0ad797c,false,5a7d5051-0783-4ce0-a851-68a4dd40fb7d,Remove,"#N/A","#N/A","#N/A"
3d8ca050-171b-4da3-a47b-de27e70b31e3,"#N/A","#N/A","#N/A",0342419e-938f-4559-8a16-0a60d3cd173d,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Remove,"#N/A","#N/A","#N/A"
3e1eded6-e867-422c-950c-dbcca866c1c5,"#N/A","#N/A","#N/A",12a8196b-48a9-4594-85ec-353004cdce65,false,e53d2730-659e-47b7-bfb7-8832f2871b06,Show,"#N/A","#N/A","#N/A"
42576e7e-c3c2-4384-b9d8-4fe0bccb3605,"#N/A","#N/A","#N/A",f2904cab-d338-4ce0-9017-02ec02ff0a18,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Show & Add,"#N/A","#N/A","#N/A"
4cd0607c-76d4-4e20-ab19-b2eb67f86bae,"#N/A","#N/A","#N/A",f2904cab-d338-4ce0-9017-02ec02ff0a18,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Remove,"#N/A","#N/A","#N/A"
4ceeb683-7e87-4604-8800-96365f839b76,"#N/A","#N/A","#N/A",12a8196b-48a9-4594-85ec-353004cdce65,false,65b7948f-093b-4f05-b0d2-d7950c24c3a0,Hide & Remove,"#N/A","#N/A","#N/A"
4e3bb5c3-6061-443a-8186-45d23ab79f5d,"#N/A","#N/A","#N/A",65fa0bd9-e9ca-4e47-952a-46504ead791f,false,7301b3d3-777e-4fb5-82f0-40dcc27edb0f,Hide & Remove,"#N/A","#N/A","#N/A"
53bd6864-c29f-4da5-9020-34c9a5482417,"#N/A","#N/A","#N/A",e2591300-8a57-45d4-b7c0-4b174a1914c2,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Remove,"#N/A","#N/A","#N/A"
57e8ecb2-a993-4bc1-a132-05cda9357aae,"#N/A","#N/A","#N/A",f2904cab-d338-4ce0-9017-02ec02ff0a18,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Remove,"#N/A","#N/A","#N/A"
5ae178d7-d6ca-47b6-ba5b-9c62c6e1c416,"#N/A","#N/A","#N/A",9b1b09d5-8e6f-4a9e-9f27-76807ac72eb3,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Remove,"#N/A","#N/A","#N/A"
608adf11-4d18-41df-b7c5-fe5287dbbaca,"#N/A","#N/A","#N/A",9b1b09d5-8e6f-4a9e-9f27-76807ac72eb3,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Show & Add,"#N/A","#N/A","#N/A"
6244e77d-af39-4aa5-9006-48dbcb9cf846,"#N/A","#N/A","#N/A",0342419e-938f-4559-8a16-0a60d3cd173d,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Remove,"#N/A","#N/A","#N/A"
6290739d-c9e5-4528-8275-57bd3ae50dcf,"#N/A","#N/A","#N/A",a38692c5-5eed-4966-a99e-72073a3e9eb5,false,ab02251b-dcc8-40d2-807e-9252766c505e,Show,"#N/A","#N/A","#N/A"
62e0a410-6f40-4d24-a488-65d4e6eea86e,"#N/A","#N/A","#N/A",107c4fda-5e09-462a-b00a-fcc5d0ad797c,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Remove,"#N/A","#N/A","#N/A"
64977b9d-43f7-435b-901b-6b7c4ab179d9,"#N/A","#N/A","#N/A",77b6d1e1-dc17-4977-acbc-bd6046c1c362,false,e5f1ae2c-4940-4559-8ca9-2b4063ef19a3,Hide & Remove,"#N/A","#N/A","#N/A"
65da3017-93ef-457f-9d02-4b19140bb212,"#N/A","#N/A","#N/A",d23d6219-dc1d-46f9-87d7-7e35dacbe621,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Show & Add,"#N/A","#N/A","#N/A"
6c077523-dc7d-428c-8168-58081cf32bf2,"#N/A","#N/A","#N/A",fd829c15-1ebe-4ca0-b329-0eff24ded0e9,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Show & Add,"#N/A","#N/A","#N/A"
6fa9f30f-239e-41a1-8007-34830f1aa98b,"#N/A","#N/A","#N/A",fd829c15-1ebe-4ca0-b329-0eff24ded0e9,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Remove,"#N/A","#N/A","#N/A"
707693da-69d9-488d-a553-2cccb9cf1e01,"#N/A","#N/A","#N/A",83697e96-8e00-43c5-b7b6-1617b2b88bff,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Show & Add,"#N/A","#N/A","#N/A"
75197030-37b8-4b99-a4eb-bd9ded611bd1,"#N/A","#N/A","#N/A",fd829c15-1ebe-4ca0-b329-0eff24ded0e9,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Show & Add,"#N/A","#N/A","#N/A"
7bf08209-7cf4-4fd3-a7c6-aa8dd476ce33,"#N/A","#N/A","#N/A",fa85ea91-ba19-40b0-90c7-5cf708f59ed6,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Remove,"#N/A","#N/A","#N/A"
7e47b269-d5ac-4081-b456-2f790844c145,"#N/A","#N/A","#N/A",1c09b4ae-9fc3-4865-b14a-1b13001208eb,false,8716d80b-c362-4a53-8756-7624fda52a37,Show & Add,"#N/A","#N/A","#N/A"
7f506d04-b2d0-4f21-bea2-a693657b0331,"#N/A","#N/A","#N/A",0813d477-fbe8-4018-9d31-7802f8bc42d9,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Remove,"#N/A","#N/A","#N/A"
81a68986-07a7-4a08-a880-e3fb20c55303,"#N/A","#N/A","#N/A",e8352367-ac54-4383-9fb2-666e5c3f4b9f,false,353e8460-d1bd-4595-b816-330cef26a8f6,Show & Add,"#N/A","#N/A","#N/A"
8a5d2961-b0fa-4292-be16-b8cae57c59e8,"#N/A","#N/A","#N/A",09a550ee-25f5-4d09-8d97-e5c501f53294,false,5a7d5051-0783-4ce0-a851-68a4dd40fb7d,Remove,"#N/A","#N/A","#N/A"
8ac6c0b6-bba6-4b87-9f38-750d0510798a,"#N/A","#N/A","#N/A",fa85ea91-ba19-40b0-90c7-5cf708f59ed6,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Remove,"#N/A","#N/A","#N/A"
8acc8ca6-39b4-4b20-87d5-d1eb291cbaa5,"#N/A","#N/A","#N/A",77b6d1e1-dc17-4977-acbc-bd6046c1c362,false,038bf63f-2423-49e6-b954-eb49eb0d4e68,Show,"#N/A","#N/A","#N/A"
8eb4530e-da9f-413d-bbd7-84e9e50b21c4,"#N/A","#N/A","#N/A",826b090e-5564-41bf-af5c-f15a99818411,false,404c02e0-db56-460e-9da3-825d16c3763b,Hide & Remove,"#N/A","#N/A","#N/A"
8eda2fa3-3ad9-4a15-8a56-2a4ca69943fc,"#N/A","#N/A","#N/A",5b20572b-128b-4835-b8cd-5e48da479b91,false,6bc3e1c7-0625-40f5-ab70-019d7c1b8116,Hide & Remove,"#N/A","#N/A","#N/A"
9054a1a2-2d32-4756-b8c3-de621484cb99,"#N/A","#N/A","#N/A",fd829c15-1ebe-4ca0-b329-0eff24ded0e9,false,2af1e9b2-ee6c-4965-85b4-9c18d31930a2,Remove,"#N/A","#N/A","#N/A"
9103d963-403b-4355-bf66-9391363a9dd0,"#N/A","#N/A","#N/A",826b090e-5564-41bf-af5c-f15a99818411,true,f6b6440f-420d-46f4-8f62-e980ebc3fc10,Show & Add,"#N/A","#N/A","#N/A"
9416f64a-071c-4b69-90f5-f5bc1ef7eecf,"#N/A","#N/A","#N/A",fa85ea91-ba19-40b0-90c7-5cf708f59ed6,false,fbdb554c-a261-47e5-ba59-d34caca14c4a,Show & Add,"#N/A","#N/A","#N/A"
9cfd2bca-bd1a-47f8-bf60-d9966a735862,"#N/A","#N/A","#N/A",fd829c15-1ebe-4ca0-b329-0eff24ded0e9,false,f19c26fe-6a0f-4620-9506-bab9c42cb8e0,Remove,"#N/A","#N/A","#N/A"
a0b9b358-8402-444f-beb0-b58fa4020064,"#N/A","#N/A","#N/A",0813d477-fbe8-4018-9d31-7802f8bc42d9,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Remove,"#N/A","#N/A","#N/A"
a117d9e4-dc15-4886-a14f-296427bfbe3f,"#N/A","#N/A","#N/A",107c4fda-5e09-462a-b00a-fcc5d0ad797c,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Remove,"#N/A","#N/A","#N/A"
a1b29177-ec22-4847-911b-80980a2b347c,"#N/A","#N/A","#N/A",1dca29af-5739-48ee-ac0d-deedf54cb949,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Show & Add,"#N/A","#N/A","#N/A"
a5ea56a9-f71a-47b6-a941-bb606b258574,"#N/A","#N/A","#N/A",e2591300-8a57-45d4-b7c0-4b174a1914c2,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Remove,"#N/A","#N/A","#N/A"
a87b0a52-89e1-4e82-a650-3af66ccad3ec,"#N/A","#N/A","#N/A",0342419e-938f-4559-8a16-0a60d3cd173d,false,647ecbaa-09b9-40ce-90a0-80e61c30ea9d,Show & Add,"#N/A","#N/A","#N/A"
aca5c751-fdd5-44d2-9576-f27c7123fbd2,"#N/A","#N/A","#N/A",e8352367-ac54-4383-9fb2-666e5c3f4b9f,false,6bc3e1c7-0625-40f5-ab70-019d7c1b8116,Hide & Remove,"#N/A","#N/A","#N/A"
acb80b6c-36d7-4abe-a252-15ca01904953,"#N/A","#N/A","#N/A",55a35784-1660-45f5-985c-c572fc190aeb,false,7301b3d3-777e-4fb5-82f0-40dcc27edb0f,Hide & Remove,"#N/A","#N/A","#N/A"
b00eaea6-c379-44af-b42a-237365e29d63,"#N/A","#N/A","#N/A",93138e0d-4c5d-43fd-b24a-bc317b3f5c91,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Remove,"#N/A","#N/A","#N/A"
b1e786b9-0381-497b-97e4-fcebc9ffe6a2,"#N/A","#N/A","#N/A",b8e095cb-5837-4e66-a50c-07f2b6a96065,false,06c7a6ab-2049-4d1e-8109-6249673a759d,Hide & Remove,"#N/A","#N/A","#N/A"
b2571fe3-f07a-4b5c-9a28-f8222a150e91,Product_Solution__c,SIEM,equals,"#N/A",false,cbbc3344-c334-4f69-8aa2-04e95c157b4a,Default Filter,"#N/A","#N/A","#N/A"
b61f2b7b-7323-453f-ab32-6f3dbc034a59,"#N/A","#N/A","#N/A",1dca29af-5739-48ee-ac0d-deedf54cb949,false,8bee9014-f83e-4e9c-b563-e0df87ec9219,Remove,"#N/A","#N/A","#N/A"
b62f47b1-8a28-4ff7-8afa-f665b27588bb,"#N/A","#N/A","#N/A",826b090e-5564-41bf-af5c-f15a99818411,false,f6b6440f-420d-46f4-8f62-e980ebc3fc10,Disable,"#N/A","#N/A","#N/A"
bb258727-195f-4920-ae95-a19c06a824e3,"#N/A","#N/A","#N/A",65fa0bd9-e9ca-4e47-952a-46504ead791f,false,0d3c45ef-9dfa-40ec-862b-890b0c6ff904,Show,"#N/A","#N/A","#N/A"
bc003745-d951-41cf-bc87-fda5a644bc31,"#N/A","#N/A","#N/A",09a550ee-25f5-4d09-8d97-e5c501f53294,false,da96dfcc-08d1-4428-8fe0-3097fdc7c057,Add,"#N/A","#N/A","#N/A"
