"Guid","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c"
009ab637-9e80-4742-b861-7e77b4f0c3d0,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",8add0539-54b0-4241-93f1-053e4121546e,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",85681b7f-bde5-46b5-8f64-e2398b53ea26,"#N/A","#N/A",30.0,6585f758-9211-4f59-863f-f2301a0215dc,false,1.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
0153ea5f-d8c8-4626-b8ae-8d9daeab8572,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",0b36f063-3e63-4b8b-92ef-10f5bd01e414,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",71f859fc-01a5-4f56-a91a-40952bba53cc,"#N/A","#N/A",3.0,0a789d8c-3e60-43ef-bfe5-4dbfbdb66cb4,true,4.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
021fdac6-0984-4b37-bcf5-d2a361911a57,On Selection,true,false,"#N/A","#N/A","#N/A","#N/A",becfbcf2-6d13-43a5-b01c-d91448aa9d3f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",1dfe02ff-87d3-4741-b66a-b9ba5e4432ea,"#N/A","#N/A",310.0,02b3eea0-df92-4564-8f8a-063e7a37c2f7,true,1.0,Always,false,false,"#N/A",false,Component,"#N/A",false
03410f18-fa9a-4c1e-83d5-284a3d2aa4b0,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",d848489d-7cfc-45fe-a771-4e5b31b72730,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",b44ad9df-a33c-4e14-8af0-fff6ca49af78,1.0,0.0,910.0,000e16b4-093d-46ba-804f-b6dfbd4653aa,false,1.0,"#N/A",false,true,"#N/A",false,Related Product,"#N/A",false
036d9892-e00c-4b41-aa8f-46f3439a806a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",290f7c93-331d-4500-b618-3971801d050c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",85a199c7-181c-4245-8387-6e3c3023cfb3,"#N/A",2.0,210.0,97c633fc-05e8-49cf-9ee6-3e3b3b1d7c11,true,8.0,"#N/A",false,true,"#N/A",false,Related Product,"#N/A",false
037b3b43-8ccd-47b6-bd1f-768c47aa4ad4,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",7d8fd83a-3d80-4756-b648-594ccc121da5,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",1bf73ddb-d5de-41b7-9da7-07c209fc5ad2,"#N/A","#N/A",710.0,5a9f6c48-14bc-412d-bcaf-a1f7d2e32cae,false,1.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
03ac1648-d89e-4305-952d-8f4191acfae4,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",7d8fd83a-3d80-4756-b648-594ccc121da5,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",f42575f0-017c-450d-89a4-8fef1c0c1f2a,"#N/A","#N/A",40.0,5e65d4ab-6aa8-4e3c-a57a-64ebdb4d9608,false,1.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
0480a6cb-616e-407f-8f2c-3ae4e3c2f2a5,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",290f7c93-331d-4500-b618-3971801d050c,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",0217b5a1-0bc6-4503-87c8-5df1289652f2,"#N/A",2.0,350.0,63cc4293-8e37-47c5-b2e0-d4c91eec70f2,true,8.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
04825bf2-373b-4e25-adb0-566e8c626486,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",c7385cf0-ad3c-4379-9240-636b1213593f,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",8cbdf832-3bcc-4438-8859-adf726e553e6,"#N/A","#N/A",250.0,5b775d31-eb43-4487-8a0d-440bfc7272fe,false,1.0,"#N/A",false,false,"#N/A",false,Component,"#N/A",false
04bd0313-b6f8-4b83-b055-1c57efcf9d6a,"#N/A",false,false,"#N/A","#N/A","#N/A","#N/A",7d8fd83a-3d80-4756-b648-594ccc121da5,"#N/A","#N/A","#N/A","#N/A",false,"#N/A",8c2f72d4-7cd4-40b0-876b-33d2bb22e2c4,"#N/A","#N/A",300.0,02448bcb-69fc-4959-9581-1354734c2073,false,1.0,"#N/A",false,false,"#N/A",false,Related Product,"#N/A",false
